bridge_id,bridge_name,road_name,condition,total_wait_time
1,Box Culvert,N1,A,0.0
5,Box culvert,N1,A,0.0
14,Kachpur bridge,N1,A,0.0
15,Bridge end,N1,A,0.0
19,Box culvert,N1,B,0.0
20,Box culvert,N1,A,0.0
21,Box culvert,N1,A,0.0
23,Box culvert,N1,A,0.0
24,Box culvert,N1,A,0.0
26,Bridge start,N1,A,0.0
27,Bridge end,N1,A,0.0
30,Box culvert,N1,A,0.0
33,Box culvert,N1,B,0.0
36,Langalbandhu bridge,N1,B,0.0
37,Bridge end,N1,C,5615.503246596481
39,Bridge start,N1,C,3709.474678644906
40,Bridge end,N1,C,162.9532176616584
41,Bridge start,N1,A,0.0
42,Bridge end,N1,A,0.0
44,Bridge start,N1,B,0.0
45,Bridge end,N1,A,0.0
47,Box culvert,N1,C,196.2452332151533
48,Box culvert,N1,B,0.0
51,Bridge start,N1,B,0.0
52,Bridge end,N1,B,0.0
54,Box culvert,N1,A,0.0
56,Bridge start,N1,B,0.0
57,Bridge end,N1,B,0.0
58,Bridge start,N1,B,0.0
59,Bridge end,N1,B,0.0
61,Meghna  bridge,N1,A,0.0
63,Bridge end,N1,A,0.0
66,Box culvert,N1,A,0.0
67,Box culvert,N1,A,0.0
69,Bridge start,N1,A,0.0
71,Bridge end,N1,A,0.0
72,Bridge start,N1,A,0.0
73,Bridge end,N1,A,0.0
75,Bridge start,N1,A,0.0
76,Bridge end,N1,A,0.0
78,Bridge start,N1,A,0.0
79,Bridge end,N1,A,0.0
80,Bridge start,N1,A,0.0
81,Bridge end,N1,A,0.0
84,Bridge start,N1,A,0.0
85,Bridge end,N1,A,0.0
87,Box culvert,N1,A,0.0
89,Bridge start,N1,A,0.0
90,Bridge end,N1,A,0.0
91,Box culvert,N1,A,0.0
94,Bridge start,N1,A,0.0
95,Bridge end,N1,A,0.0
96,Box culvert,N1,A,0.0
98,Daudkandi bridge,N1,A,0.0
101,Daudkandi bridge,N1,A,0.0
104,Bridge start,N1,C,3981.9837674290834
105,Bridge end,N1,C,2665.61422286411
107,Box culvert,N1,C,98.48408189421319
111,Bridge start,N1,C,1095.934499011577
112,Bridge end,N1,C,1760.7444138870774
116,Box culvert,N1,C,288.5724256380061
120,Box culvert,N1,C,4716.551416828717
124,Bridge start,N1,A,0.0
125,Bridge end,N1,A,0.0
128,Bridge start,N1,A,0.0
129,Bridge end,N1,A,0.0
132,Box culvert,N1,C,141.11173419673634
137,Bridge start,N1,C,2363.5404185992306
138,Bridge end,N1,C,4542.969734992594
142,Box culvert,N1,B,0.0
145,Box culvert,N1,B,0.0
150,Box culvert,N1,B,0.0
151,Box culvert,N1,B,0.0
155,Box culvert,N1,B,0.0
158,Box culvert,N1,A,0.0
165,Bridge start,N1,C,4015.56846301016
166,Bridge end,N1,C,4715.205411376474
170,Box culvert,N1,B,0.0
172,Box culvert,N1,B,0.0
177,Box culvert,N1,C,4492.400567347259
181,Box culvert,N1,B,0.0
183,Box culvert,N1,A,0.0
186,Box culvert,N1,A,0.0
193,Bridge start,N1,A,0.0
194,Bridge end,N1,A,0.0
200,Bridge start,N1,C,4180.060357887179
201,Bridge end,N1,C,124.21191487201027
206,Bridge start,N1,C,1114.590253748719
207,Bridge end,N1,C,274.3745407012693
211,Box culvert,N1,C,139.8187225667713
213,Bridge start,N1,A,0.0
214,Bridge end,N1,A,0.0
217,Box culvert,N1,A,0.0
218,Box culvert,N1,A,0.0
219,Box culvert,N1,A,0.0
221,Bridge start,N1,A,0.0
222,Bridge end,N1,A,0.0
225,Box culvert,N1,A,0.0
227,Bridge start,N1,C,2072.9923574229583
228,Bridge end,N1,C,193.53533542950566
230,Box culvert,N1,C,211.5121309740153
233,Bridge start,N1,A,0.0
234,Bridge end,N1,A,0.0
238,Bridge start,N1,A,0.0
239,Bridge end,N1,A,0.0
241,Bridge start,N1,A,0.0
242,Bridge end,N1,A,0.0
243,Box culvert,N1,B,0.0
245,Box culvert,N1,B,0.0
247,Bridge start,N1,A,0.0
248,Bridge end,N1,A,0.0
250,Box culvert,N1,A,0.0
252,Box culvert,N1,B,0.0
255,Box culvert,N1,B,0.0
256,Box culvert,N1,B,0.0
257,Box culvert,N1,B,0.0
259,Box culvert,N1,B,0.0
261,Box culvert,N1,B,0.0
262,Bridge start,N1,B,0.0
263,Bridge end,N1,B,0.0
264,Box culvert,N1,B,0.0
266,Box culvert,N1,B,0.0
267,Box culvert,N1,A,0.0
269,Box culvert,N1,B,0.0
270,Box culvert,N1,B,0.0
273,Box culvert,N1,A,0.0
275,Box culvert,N1,B,0.0
277,Box culvert,N1,A,0.0
279,Box culvert,N1,A,0.0
281,Bridge start,N1,C,2110.9397418432
282,Bridge end,N1,C,136.69293475814692
284,Box culvert,N1,B,0.0
286,Bridge start,N1,B,0.0
287,Bridge end,N1,A,0.0
289,Box culvert,N1,B,0.0
292,Box culvert,N1,B,0.0
294,Box culvert,N1,B,0.0
296,Box culvert,N1,B,0.0
298,Box culvert,N1,A,0.0
299,Box culvert,N1,A,0.0
301,Box culvert,N1,B,0.0
304,Box culvert,N1,A,0.0
305,Box culvert,N1,A,0.0
307,Box culvert,N1,B,0.0
308,Box culvert,N1,B,0.0
310,Box culvert,N1,A,0.0
