bridge_id,bridge_name,road_name,condition,total_wait_time
601,Box Culvert,N1,B,10.318183538858714
605,Box culvert,N1,B,15.818518848184523
607,Box culvert,N1,A,0.0
609,Box culvert,N1,A,0.0
611,Box culvert,N1,A,0.0
612,Box culvert,N1,A,0.0
613,Box culvert,N1,A,0.0
616,Box culvert,N1,A,0.0
619,Box culvert,N1,A,0.0
622,Bridge start,N1,B,866.3265347784785
623,Bridge end,N1,B,121.26043502247623
626,Slab Culvert,N1,A,0.0
630,Box culvert,N1,A,0.0
633,Bridge start,N1,B,354.5931504089498
634,Bridge end,N1,B,257.23809534043266
637,Box Culvert,N1,B,10.36612583594672
639,Box culvert,N1,A,0.0
640,Box culvert,N1,A,0.0
642,Bridge start,N1,B,284.51101411073216
643,Bridge end,N1,B,18.606955033882123
644,Box Culvert,N1,B,352.31985406841017
646,Box culvert,N1,A,0.0
647,Box culvert,N1,A,0.0
649,Box culvert,N1,A,0.0
651,Box culvert,N1,A,0.0
652,Box culvert,N1,A,0.0
654,Box culvert,N1,B,285.7466676643557
655,Bridge start,N1,B,209.09115585714295
656,Bridge end,N1,B,24.3048558889992
658,Bridge start,N1,B,291.2010846927198
659,Bridge end,N1,B,7.124149797380351
660,Box culvert,N1,A,0.0
662,Box culvert,N1,A,0.0
665,Bridge start,N1,C,458.4541112726198
666,Bridge end,N1,C,17.47923667753343
667,Bridge start,N1,C,211.93103044310982
668,Bridge end,N1,C,440.8731560319285
674,Box culvert,N1,B,424.55255271688753
678,Bridge start,N1,B,3.694948734575529
679,Bridge end,N1,B,16.712778028144626
681,Bridge start,N1,A,0.0
682,Bridge end,N1,A,0.0
685,Box Culvert,N1,A,0.0
686,Box Culvert,N1,A,0.0
688,Bridge start,N1,A,0.0
689,Bridge end,N1,A,0.0
690,Bridge start,N1,A,0.0
691,Bridge end,N1,A,0.0
693,Box culvert,N1,A,0.0
694,Box culvert,N1,A,0.0
696,Box culvert,N1,A,0.0
699,Box culvert,N1,A,0.0
702,Box culvert,N1,A,0.0
705,Box culvert,N1,A,0.0
707,Box culvert,N1,A,0.0
709,Bridge start,N1,A,0.0
710,Bridge end,N1,A,0.0
712,Bridge start,N1,A,0.0
713,Bridge end,N1,A,0.0
714,Box culvert,N1,A,0.0
716,Box culvert,N1,A,0.0
717,Box culvert,N1,A,0.0
719,Box culvert,N1,A,0.0
721,Box culvert,N1,A,0.0
723,Box culvert,N1,A,0.0
725,Box culvert,N1,A,0.0
726,Bridge start,N1,A,0.0
728,Bridge end,N1,A,0.0
730,Box culvert,N1,A,0.0
732,Box culvert,N1,A,0.0
734,Box culvert,N1,A,0.0
735,Box culvert,N1,A,0.0
737,Box culvert,N1,A,0.0
738,Box culvert,N1,A,0.0
739,Bridge start,N1,A,0.0
740,Bridge end,N1,A,0.0
742,Box culvert,N1,A,0.0
743,Bridge start,N1,A,0.0
744,Bridge end,N1,A,0.0
746,Bridge start,N1,A,0.0
747,Bridge end,N1,A,0.0
748,Box culvert,N1,A,0.0
749,Box culvert,N1,A,0.0
753,Box culvert,N1,A,0.0
755,Bridge start,N1,A,0.0
756,Bridge end,N1,A,0.0
757,Box culvert,N1,A,0.0
759,Box culvert,N1,A,0.0
760,Bridge start,N1,A,0.0
761,Bridge end,N1,A,0.0
763,Box culvert,N1,A,0.0
765,Box culvert,N1,A,0.0
766,Box culvert,N1,A,0.0
768,Box culvert,N1,A,0.0
769,Box culvert,N1,A,0.0
771,Box culvert,N1,A,0.0
772,Box culvert,N1,A,0.0
774,Box culvert,N1,A,0.0
775,Box culvert,N1,A,0.0
780,Box culvert,N1,A,0.0
782,Box culvert,N1,A,0.0
784,Box culvert,N1,A,0.0
786,Box culvert,N1,A,0.0
788,Bridge start,N1,A,0.0
789,Bridge end,N1,A,0.0
791,Box culvert,N1,A,0.0
792,Box culvert,N1,A,0.0
794,Box culvert,N1,A,0.0
795,Box culvert,N1,A,0.0
797,Box culvert,N1,A,0.0
800,Bridge start,N1,A,0.0
801,Bridge end,N1,A,0.0
802,Box culvert,N1,A,0.0
804,Box culvert,N1,A,0.0
807,Bridge start,N1,A,0.0
808,Bridge end,N1,A,0.0
811,Box culvert,N1,A,0.0
812,Box culvert,N1,A,0.0
814,Box culvert,N1,B,13.427696474212144
816,Box culvert,N1,A,0.0
817,Box culvert,N1,A,0.0
819,Box culvert,N1,A,0.0
821,Bridge start,N1,C,13.068426143037994
822,Bridge end,N1,C,10.134723896979247
828,Box culvert,N1,A,0.0
830,Box culvert,N1,A,0.0
831,Box culvert,N1,A,0.0
832,Bridge start,N1,A,0.0
833,Bridge end,N1,A,0.0
835,Box culvert,N1,A,0.0
838,Pipe Culvert,N1,A,0.0
840,Box culvert,N1,A,0.0
842,Box culvert,N1,A,0.0
846,Bridge start,N1,A,0.0
847,Bridge end,N1,A,0.0
848,Box culvert,N1,A,0.0
851,Box culvert,N1,A,0.0
853,Bridge start,N1,A,0.0
854,Bridge end,N1,C,18.952128197413447
856,Bridge start,N1,C,350.82910116338553
857,Bridge end,N1,A,0.0
858,Box culvert,N1,A,0.0
859,Box culvert,N1,A,0.0
863,Box culvert,N1,B,5.73802523108112
865,Bridge start,N1,A,0.0
866,Bridge end,N1,A,0.0
869,Box culvert,N1,A,0.0
870,Box culvert,N1,A,0.0
872,Box culvert,N1,A,0.0
873,Box culvert,N1,A,0.0
875,Box culvert,N1,A,0.0
876,Box culvert,N1,A,0.0
878,Box culvert,N1,C,146.20477262456154
879,Box culvert,N1,A,0.0
881,Box culvert,N1,A,0.0
883,Box Culvert,N1,A,0.0
885,Box Culvert,N1,A,0.0
886,Box Culvert,N1,A,0.0
888,Bridge start,N1,A,0.0
889,Bridge end,N1,A,0.0
890,Bridge start,N1,A,0.0
891,Bridge end,N1,A,0.0
895,Box culvert,N1,A,0.0
896,Box culvert,N1,A,0.0
897,Bridge start,N1,A,0.0
898,Bridge end,N1,A,0.0
899,Box culvert,N1,A,0.0
901,Box culvert,N1,A,0.0
902,Box culvert,N1,A,0.0
904,Box culvert,N1,A,0.0
905,Box culvert,N1,A,0.0
907,Box culvert,N1,A,0.0
909,Box culvert,N1,A,0.0
912,Box culvert,N1,A,0.0
914,Box culvert,N1,A,0.0
915,Box culvert,N1,A,0.0
917,Bridge start,N1,A,0.0
918,Bridge end,N1,A,0.0
919,Box culvert,N1,B,4.161967424079164
922,Box culvert,N1,A,0.0
923,Box culvert,N1,A,0.0
926,Box culvert,N1,A,0.0
927,Bridge start,N1,A,0.0
928,Bridge end,N1,A,0.0
930,Box culvert,N1,A,0.0
931,Box culvert,N1,A,0.0
933,Box culvert,N1,A,0.0
934,Box culvert,N1,A,0.0
936,Box culvert,N1,A,0.0
938,Bridge start,N1,A,0.0
